id,title,description,difficulty,reward,status,created_at,updated_at,deadline,slug,category,cooldown_hours,requirements,rewards_breakdown,active_from,active_until,max_completions
1269698e-d5e8-4a2e-b28c-ff99cc3d1361,Quantum Voice Sync,"Match the frequency 1111 with your voice. The closer you get, the more $ZO you earn!",easy,200,active,2025-11-13 19:31:00.654634+00,2025-11-13 19:36:14.680013+00,2025-11-13 20:31:00.654634+00,game-1111,daily,12,{},"{""dynamic"": true, ""formula"": ""Base 50 + (1 - distance/1111) * 150"", ""zo_tokens"": 200}",,,
1aa12406-77b2-43d0-83f6-fd2236ba87e3,Triveni Ghat,"Visit Triveni Ghat and experience one of the best ganga arti experiences. Capture moments, explore the vibe, and complete this quest by engaging with the location.",easy,100,active,2026-02-26 20:08:26.734529+00:00,2026-02-26 20:08:26.734529+00:00,,triveni-ghat,Ganga Arti,24,{},"{""dynamic"": false, ""zo_tokens"": 100}",,,
abc8a7b0-a449-4b7f-8a6a-74725046b283,Shatrughan ghat,"Visit Shatrughan ghat and experience one of the best ganga arti experiences. Capture moments, explore the vibe, and complete this quest by engaging with the location.",easy,100,active,2026-02-26 20:08:26.734529+00:00,2026-02-26 20:08:26.734529+00:00,,shatrughan-ghat,Ganga Arti,24,{},"{""dynamic"": false, ""zo_tokens"": 100}",,,
f4dc2a3c-9a2f-4a7e-a111-abc022936e66,Parmarth niketan,"Visit Parmarth niketan and experience one of the best ganga arti experiences. Capture moments, explore the vibe, and complete this quest by engaging with the location.",easy,100,active,2026-02-26 20:08:26.734529+00:00,2026-02-26 20:08:26.734529+00:00,,parmarth-niketan,Ganga Arti,24,{},"{""dynamic"": false, ""zo_tokens"": 100}",,,
adb012ef-b5aa-4a4c-a515-a197103c8845,Namami Beach,"Visit Namami Beach and experience one of the best beaches experiences. Capture moments, explore the vibe, and complete this quest by engaging with the location.",easy,100,active,2026-02-26 20:08:26.734529+00:00,2026-02-26 20:08:26.734529+00:00,,namami-beach,Beaches,24,{},"{""dynamic"": false, ""zo_tokens"": 100}",,,
923b22c8-9564-49c5-9bed-8f71e610f1bf,Shivpuri Beach,"Visit Shivpuri Beach and experience one of the best beaches experiences. Capture moments, explore the vibe, and complete this quest by engaging with the location.",easy,100,active,2026-02-26 20:08:26.734529+00:00,2026-02-26 20:08:26.734529+00:00,,shivpuri-beach,Beaches,24,{},"{""dynamic"": false, ""zo_tokens"": 100}",,,
a04ce470-662d-4629-ba8f-59f599d213cd,Neem Beach,"Visit Neem Beach and experience one of the best beaches experiences. Capture moments, explore the vibe, and complete this quest by engaging with the location.",easy,100,active,2026-02-26 20:08:26.734529+00:00,2026-02-26 20:08:26.734529+00:00,,neem-beach,Beaches,24,{},"{""dynamic"": false, ""zo_tokens"": 100}",,,
a90c6c4f-9d33-4235-ac7e-4b0831999aa6,Goa beach,"Visit Goa beach and experience one of the best beaches experiences. Capture moments, explore the vibe, and complete this quest by engaging with the location.",easy,100,active,2026-02-26 20:08:26.734529+00:00,2026-02-26 20:08:26.734529+00:00,,goa-beach,Beaches,24,{},"{""dynamic"": false, ""zo_tokens"": 100}",,,
8f514948-12de-4a83-a22a-cfbfa75da397,Kodiyala,"Visit Kodiyala and experience one of the best beaches experiences. Capture moments, explore the vibe, and complete this quest by engaging with the location.",easy,100,active,2026-02-26 20:08:26.734529+00:00,2026-02-26 20:08:26.734529+00:00,,kodiyala,Beaches,24,{},"{""dynamic"": false, ""zo_tokens"": 100}",,,
6200d6ea-ada0-48c1-ad6f-6f676b87b132,Neer Waterfall (5 phases),"Visit Neer Waterfall (5 phases) and experience one of the best waterfalls experiences. Capture moments, explore the vibe, and complete this quest by engaging with the location.",easy,100,active,2026-02-26 20:08:26.734529+00:00,2026-02-26 20:08:26.734529+00:00,,neer-waterfall-5-phases,Waterfalls,24,{},"{""dynamic"": false, ""zo_tokens"": 100}",,,
